,open,high,close,low,volume,price_change,p_change
2016-01-20,16.05,16.38,16.01,15.75,44137.8,-0.21,-1.29
2016-01-19,15.55,16.25,16.22,15.33,50115.39,0.67,4.31
2016-01-18,14.97,15.72,15.56,14.7,41947.85,0.17,1.1
2016-01-15,15.71,16.1,15.42,15.21,43059.26,-0.55,-3.44
2016-01-14,14.86,16.0,15.94,14.39,68228.87,0.7,4.59
2016-01-13,15.45,15.88,15.28,14.75,53038.81,0.01,0.07
2016-01-12,15.9,16.1,15.3,15.0,61081.87,-0.6,-3.77
2016-01-11,16.59,17.24,15.9,15.9,58036.37,-1.77,-10.02
2016-01-08,18.5,18.57,17.67,16.3,63730.94,-0.37,-2.05
2016-01-07,19.7,19.7,18.04,18.04,12083.0,-2.0,-9.98
2016-01-06,19.9,20.28,20.05,19.53,36779.14,0.18,0.91
2016-01-05,19.0,21.15,19.83,19.0,64228.1,-0.86,-4.16
2016-01-04,22.8,22.84,20.69,20.68,46839.38,-2.28,-9.93
2015-12-31,21.9,23.38,22.98,21.9,85962.29,1.14,5.22
2015-12-30,21.88,21.96,21.85,21.36,28709.9,0.08,0.37
2015-12-29,21.86,22.27,21.78,21.3,52505.66,-0.1,-0.46
2015-12-28,23.2,23.4,21.89,21.85,71790.53,-1.31,-5.65
2015-12-25,23.18,23.3,23.19,22.82,46800.9,0.15,0.65
2015-12-24,24.05,24.05,23.05,22.88,75142.68,-1.06,-4.4
2015-12-23,23.97,24.44,24.11,23.66,70107.29,0.33,1.39
2015-12-22,23.8,24.1,23.8,23.5,53460.38,-0.11,-0.46
2015-12-21,24.2,24.8,23.95,23.7,67320.6,-0.04,-0.17
2015-12-18,23.53,24.66,23.99,23.43,109230.05,0.65,2.79
2015-12-17,22.5,23.35,23.33,22.5,91305.61,1.12,5.04
2015-12-16,22.59,22.65,22.24,22.15,41851.26,-0.08,-0.36
2015-12-15,22.24,22.66,22.32,22.01,50790.04,0.03,0.14
2015-12-14,21.61,22.31,22.29,21.5,40463.54,0.41,1.87
2015-12-11,21.81,22.39,21.89,21.6,46737.76,-0.31,-1.4
2015-12-10,21.85,23.36,22.2,21.84,128182.8,0.93,4.37
2015-12-09,21.06,21.87,21.3,21.01,53370.13,0.25,1.19
2015-12-08,21.93,21.93,21.06,21.0,60128.03,-0.96,-4.36
2015-12-07,21.45,22.15,22.02,21.09,63121.57,0.58,2.71
2015-12-04,21.1,21.88,21.45,21.03,61442.24,0.28,1.32
2015-12-03,20.66,21.32,21.18,20.66,39428.35,0.36,1.73
2015-12-02,21.3,21.37,20.81,20.3,44773.31,-0.4,-1.89
2015-12-01,20.38,22.0,21.25,20.01,82583.76,0.83,4.07
2015-11-30,21.18,21.98,20.44,19.29,82211.97,-0.74,-3.49
2015-11-27,23.35,23.43,21.17,21.17,96648.6,-2.35,-9.99
2015-11-26,23.85,24.08,23.53,23.5,51446.29,-0.31,-1.3
2015-11-25,23.4,24.15,23.85,23.4,67009.81,0.23,0.97
2015-11-24,23.26,23.75,23.64,22.86,65186.31,0.33,1.42
2015-11-23,24.55,24.61,23.3,23.25,87312.13,-0.9,-3.72
2015-11-20,23.93,24.49,24.23,23.53,101795.66,0.32,1.34
2015-11-19,23.72,24.26,23.91,23.01,120660.59,-0.12,-0.5
2015-11-18,26.17,26.28,24.01,23.8,156473.0,-2.07,-7.94
2015-11-17,27.62,27.69,26.1,25.9,164925.69,0.04,0.15
2015-11-16,24.51,26.28,26.05,24.1,106457.82,1.09,4.37
2015-11-13,24.1,26.35,24.95,24.1,183631.2,0.92,3.83
2015-11-12,24.62,24.64,24.03,23.68,120107.83,-0.59,-2.4
2015-11-11,24.2,25.1,24.65,23.8,151679.59,-0.14,-0.56
2015-11-10,23.5,24.79,24.79,23.5,202020.19,2.25,9.98
2015-11-09,22.04,23.11,22.54,22.04,101562.21,0.21,0.94
2015-11-06,22.18,22.65,22.33,22.0,74359.66,0.12,0.54
2015-11-05,22.3,23.15,22.2,21.88,141326.34,0.35,1.6
2015-11-04,20.95,21.99,21.85,20.93,100828.08,0.96,4.6
2015-11-03,20.89,21.33,20.89,20.0,72496.91,0.45,2.2
2015-11-02,20.35,21.3,20.44,19.86,66767.37,-0.17,-0.82
2015-10-30,20.85,21.0,20.61,20.5,60263.1,-0.28,-1.34
2015-10-29,21.02,21.36,20.94,20.65,67351.04,0.32,1.55
2015-10-28,21.9,22.12,20.62,20.2,98100.62,-1.16,-5.33
2015-10-27,21.49,22.18,21.79,20.39,104786.21,-0.06,-0.28
2015-10-26,23.32,23.46,21.85,21.06,178488.0,-0.58,-2.59
2015-10-23,21.21,22.43,22.43,20.71,193823.84,2.04,10.01
2015-10-22,18.65,20.39,20.39,18.65,138071.73,1.85,9.98
2015-10-21,19.96,20.5,18.54,18.23,92714.55,-1.39,-6.97
2015-10-20,19.86,20.39,19.95,19.66,73178.73,0.32,1.63
2015-10-19,20.55,20.7,19.65,19.56,103500.92,-0.76,-3.72
2015-10-16,20.32,21.0,20.4,19.5,159508.31,0.42,2.1
2015-10-15,18.61,20.2,19.96,18.61,126977.31,1.08,5.72
2015-10-14,18.15,19.9,18.9,17.81,179606.73,0.4,2.16
2015-10-13,16.61,18.5,18.5,16.6,116545.37,1.68,9.99
2015-10-12,16.2,17.18,16.81,16.01,101001.85,0.62,3.83
2015-10-09,16.11,16.33,16.19,15.99,48540.67,-0.07,-0.43
2015-10-08,16.03,16.5,16.27,15.75,75558.01,0.61,3.9
2015-09-30,15.3,15.85,15.67,14.98,85531.49,0.2,1.29
2015-09-29,14.96,16.0,15.47,14.81,78247.2,0.38,2.52
2015-09-28,14.95,15.28,15.08,14.3,41448.35,-0.21,-1.37
2015-09-25,15.5,15.95,15.29,15.03,71859.97,-0.1,-0.65
2015-09-24,15.22,15.7,15.4,15.1,58746.39,0.26,1.72
2015-09-23,14.94,15.45,15.15,14.6,84272.05,0.2,1.34
2015-09-22,14.53,15.19,14.97,14.48,81399.43,0.44,3.03
2015-09-21,13.9,14.57,14.55,13.73,60466.03,0.54,3.85
2015-09-18,14.1,14.4,14.02,13.51,59277.66,0.04,0.29
2015-09-17,14.58,15.35,13.95,13.92,88783.16,-0.7,-4.78
2015-09-16,13.43,14.65,14.64,13.4,79799.99,1.32,9.91
